x,y
-7.307852933745436,-3.4392018458731384
-7.321343195642329,-3.438288290597651
-7.334448942860755,-3.4375134316730667
-7.347573450860042,-3.4368422462831596
-7.3610953408078,-3.4362519175956274
-7.374212876485656,-3.4357762572114616
-7.387332898404857,-3.4353937185084926
-7.400857258230161,-3.43509373425754
-7.413989560619844,-3.434893705972343
-7.427121662452771,-3.4347880745280714
-7.440656440154167,-3.434783012377802
-7.4537913807426035,-3.4348785935203217
-7.4669309966560125,-3.4350685709149738
-7.480467582630397,-3.435356239362264
-7.493604690467875,-3.435725077901334
-7.506725603250629,-3.4361790878420813
-7.520254131377397,-3.4367310437576553
-7.533385706798606,-3.4373485565524446
-7.546510175160118,-3.438048878415448
-7.560009955473753,-3.4388583537090147
-7.573123168761622,-3.4397299480618293
-7.586235243791334,-3.4406848162292984
-7.599736427866226,-3.44175340006252
-7.612810513324357,-3.442872837823875
-7.625886211571419,-3.4440717319358582
-7.639374099477285,-3.445381946320164
-7.652460542331548,-3.446724340349481
-7.6655157678751875,-3.448138730128148
-7.678968407718363,-3.4496829538755867
-7.692019858458291,-3.4512655501456075
-7.7050686557765395,-3.4529264587754045
-7.718488113349055,-3.4547118317656076
-7.731503319068142,-3.4565205603431823
-7.744517829889951,-3.458403756011878
-7.75793542782086,-3.460418432151306
-7.770935840264707,-3.4624319636795176
-7.7839308284611315,-3.464504830521523
-7.797317896054561,-3.466700887207247
-7.810304083055944,-3.468887721104842
-7.823274277207,-3.471127816485093
-7.836614427657253,-3.4734943063569776
-7.8495601625118026,-3.4758523601979143
-7.862488792682994,-3.4782668506728722
-7.8757962294390715,-3.4808178298013233
-7.888704424276565,-3.483359885052094
-7.901604580158816,-3.48596700008791
-7.914893034947282,-3.488716850726041
-7.927775701127527,-3.4914390169646135
-7.940626903393603,-3.4942122853338007
-7.953866526762979,-3.497126116862046
-7.96670650960343,-3.5000035249277937
-7.979539860878091,-3.5029303791136077
-7.992765380002291,-3.5059932576332087
-8.005599186552148,-3.5090030621812995
-8.018427370730343,-3.512048650470809
-8.03164044333025,-3.515223327320144
-8.044436949157749,-3.518334825369336
-8.057223107228848,-3.5214817429159306
-8.07038337738889,-3.524762181910542
-8.083150733496174,-3.527989128539012
-8.095912424043306,-3.531258415495007
-8.10904937712205,-3.534673256776858
-8.121788766667926,-3.5380365243333802
-8.134515805087549,-3.5414470867372736
-8.147595803110368,-3.5450098659503064
-8.160267812484982,-3.548526061560013
-8.172924822331584,-3.5521013921107643
-8.185946626248064,-3.5558499467173945
-8.19857094060354,-3.5595563535931443
-8.211180146718432,-3.563329614494098
-8.224143006026711,-3.5672884509494205
-8.236690681083822,-3.571203847040039
-8.249192561874962,-3.5751875109625093
-8.262060983027105,-3.5793782239991603
-8.274525243066742,-3.5835277721393686
-8.286967023906739,-3.5877592714027546
-8.299761929269454,-3.592204642920863
-8.312154520720767,-3.5966009970694723
-8.324515093540736,-3.6010749061698464
-8.337218278129708,-3.6057649979079573
-8.349511017190896,-3.610390036559895
-8.361772562005571,-3.615086143894012
-8.374389969977196,-3.620003747837309
-8.386608891167953,-3.6248516496966046
-8.39880072039989,-3.6297759762560156
-8.411328998979622,-3.634927327094144
-8.423458773813511,-3.6400000657646783
-8.43556182351513,-3.6451422031180316
-8.447997740030711,-3.6505104806166426
-8.459992597640415,-3.655769381303791
-8.472012992838518,-3.661111252343823
-8.484373134007948,-3.666677879395763
-8.49634478450335,-3.6721404252002796
-8.508284206220498,-3.6776567990793176
-8.520563385313363,-3.6834010107518105
-8.53244886595744,-3.6890355732879674
-8.544301657696932,-3.694734953432742
-8.556458705320889,-3.7006665940295065
-8.56824166573251,-3.706495156713067
-8.580006485370523,-3.712385201617945
-8.592093024035,-3.718509902976289
-8.603796018801885,-3.724511823529899
-8.615472515917714,-3.730572531534827
-8.627475539479688,-3.736878534698291
-8.639097651240343,-3.7430566179601557
